gender,age,job,monthly_income,assets,saving_months,saving_amount,deposit_amount,deposit_months
M,54,0,178,2027,24,65,1281,24
M,33,0,57,3408,24,26,157,6
M,98,1,1674,92858,12,301,3214,12
M,91,1,1739,240875,12,260,2504,12
F,34,0,126,6624,12,59,1421,24
F,95,1,2280,262364,12,387,9849,24
M,76,1,2547,66668,24,331,4890,12
M,72,1,2050,294911,12,348,7379,24
M,83,1,2376,332189,24,261,5987,12
F,33,1,1807,132571,12,849,11275,12
M,49,0,477,36496,12,152,1058,6
M,10,0,33,580,24,4,74,12
M,34,0,109,8512,1,53,57,1
F,47,1,2281,284655,12,729,18065,24
F,43,1,1676,111251,24,636,13273,24
M,64,1,2519,338124,24,327,12091,24
M,43,1,2066,304649,12,723,19833,24
F,27,0,55,1003,1,27,633,24
M,15,0,152,1149,1,23,210,12
M,88,1,838,89003,24,92,1709,12
F,50,0,172,9057,1,55,60,1
F,76,1,988,64415,24,187,1541,12
F,12,0,52,419,12,8,55,6
M,23,0,92,1585,12,47,43,1
F,58,0,190,7082,12,60,444,6
M,89,1,250,14490,12,57,959,24
M,12,1,2583,139457,12,378,5907,12
F,47,1,2600,117369,24,961,24335,24
M,29,1,198,2515,12,98,1211,12
M,80,1,1505,152980,24,180,6501,24
F,65,1,620,17584,24,136,2529,24
F,25,1,908,44305,24,453,5665,12
M,81,1,2923,189769,12,496,11925,24
F,98,1,2726,251163,24,327,4579,12
F,55,0,383,2324,24,130,1286,12
M,96,1,1916,171814,24,383,5058,12
F,33,1,1643,233669,24,821,10449,12
F,39,1,2303,296552,12,1059,13817,12
F,26,1,1390,128217,24,764,8840,12
M,12,0,183,3221,12,33,170,6
F,30,1,1030,35942,24,504,5561,12
F,83,1,668,91183,24,80,1523,12
F,30,0,146,11977,1,68,214,3
F,37,1,325,26450,12,149,2144,12
M,21,0,167,3144,24,81,1001,12
M,50,0,190,928,6,62,205,3
M,66,1,541,43770,24,86,1947,24
F,73,1,479,28561,12,76,1839,24
F,63,1,1311,16069,24,222,1730,12
F,58,1,1879,152669,12,638,7215,12
M,25,0,20,194,12,9,220,24
F,40,0,358,7480,12,125,121,1
M,67,1,208,27938,24,51,349,12
M,87,1,2502,336669,24,400,4203,12
F,26,0,57,530,24,27,164,6
F,97,1,1425,9194,24,227,2052,12
M,57,1,501,56972,24,175,2344,12
M,56,0,152,3996,1,53,54,1
M,97,1,2804,376403,24,364,4374,12
F,17,0,101,1137,1,12,275,24
F,59,0,229,9720,12,91,508,6
F,47,0,497,22502,3,154,1908,12
M,11,0,183,3694,6,24,211,6
F,17,0,112,951,1,17,44,3
F,42,1,496,19843,24,148,1964,12
M,99,1,2152,144364,24,279,5164,12
F,66,0,283,4119,24,48,950,24
M,53,1,2155,315403,24,861,16033,24
M,76,1,435,9821,24,47,1148,24
M,92,1,2194,58880,12,394,5002,12
F,18,0,83,327,24,14,59,6
M,47,0,222,6855,12,71,73,1
F,72,1,2912,28517,12,436,9085,24
M,11,0,39,761,12,5,110,24
M,53,0,94,4242,6,32,84,3
M,94,1,1258,123710,12,213,3321,24
F,54,1,896,6938,12,286,7311,24
F,69,0,469,14651,6,60,1350,24
F,62,1,966,65014,24,144,1854,12
M,28,0,49,126,3,22,576,24
F,38,0,30,1475,24,13,91,6
F,12,0,49,719,1,5,83,12
F,52,0,418,38650,12,158,1855,12
F,97,1,1645,79575,12,296,4737,24
M,73,1,432,4358,24,82,777,12
M,61,1,1748,97511,24,332,4404,12
F,46,1,1135,157656,12,419,9533,24
M,18,0,105,400,12,18,74,6
F,17,1,765,84028,12,86,1428,12
F,89,1,1955,57270,12,332,6568,24
M,94,1,1057,100146,12,190,2029,12
F,64,0,459,22803,24,91,78,1
M,96,1,2132,150633,24,426,4093,12
M,22,0,149,2498,6,74,232,3
M,88,1,771,70411,12,146,1202,12
M,15,0,20,370,24,3,92,24
M,95,1,2009,125441,12,200,6750,24
F,93,1,2987,5906,12,537,6093,12
M,34,0,33,2813,24,16,372,24
M,81,1,1278,146621,24,191,1840,12
F,10,0,61,1015,3,8,11,1
M,49,0,461,18733,6,165,1078,6
F,89,1,1571,107468,24,204,6409,24
F,57,1,2412,356980,24,723,23734,24
F,75,1,1086,2181,12,152,2606,12
F,42,1,1585,125874,12,507,5896,12
M,55,1,2782,346223,24,1001,23368,24
F,70,1,1934,230084,24,386,6498,24
M,29,0,144,2419,3,70,73,1
F,24,0,176,3344,6,80,2027,24
M,97,1,1323,124965,24,224,1746,12
M,74,1,1080,116359,24,151,3887,24
F,96,1,2089,124804,12,292,7019,24
M,43,0,370,31717,6,136,377,3
F,38,1,533,42305,12,277,3134,12
F,90,1,2516,174202,24,452,7849,24
F,82,1,1797,31877,12,233,6900,24
F,58,1,932,132719,24,335,7381,24
M,15,0,185,1836,3,28,580,24
F,95,1,456,25214,12,45,1751,24
F,50,1,1922,117920,12,672,15222,24
M,77,1,1833,235922,12,293,7038,24
F,83,1,2952,133140,12,590,5667,12
M,62,1,2127,249232,12,276,4594,12
M,11,1,785,16209,24,139,1066,12
M,14,0,85,174,24,11,354,24
F,21,0,56,686,3,23,92,3
F,55,0,24,174,24,8,40,6
M,70,1,2958,410090,24,591,5679,12
M,77,1,1396,39648,24,237,4355,24
M,14,0,105,1269,3,12,84,6
F,24,1,828,38219,24,380,8544,24
F,51,0,334,25917,12,126,310,3
M,16,1,1646,240552,12,243,5022,24
F,63,1,273,7632,24,38,458,12
F,70,1,2160,253366,12,323,6739,24
M,17,0,173,1060,24,29,588,24
M,17,0,53,764,3,6,102,12
M,14,0,35,403,1,4,14,3
F,26,1,858,110669,12,420,5045,12
F,49,0,235,20030,1,75,986,12
M,97,1,1782,96085,24,302,4062,12
M,44,0,176,17352,12,58,1267,24
F,17,0,185,559,1,30,201,6
M,16,1,457,18898,24,51,557,12
M,18,0,100,360,24,10,37,3
F,34,0,199,15212,24,105,2722,24
M,70,1,1126,35060,24,213,1891,12
M,95,1,2721,90441,12,544,5550,12
F,26,0,124,2515,1,63,174,3
F,55,0,320,9516,24,124,671,6
F,35,1,549,58864,12,269,3096,12
F,44,1,793,74440,24,277,3235,12
F,41,0,106,7280,6,37,209,6
M,100,1,2841,335345,24,340,8863,24
M,63,0,462,42146,12,92,221,3
M,24,0,151,1272,12,80,78,1
F,37,1,2189,218518,12,1072,24691,24
F,32,0,148,10930,6,66,204,3
F,53,1,1109,151966,24,377,11178,24
F,44,1,2508,34940,12,852,12038,12
F,38,1,1018,135777,12,519,6230,12
F,69,1,769,11538,12,161,1384,12
F,18,0,167,3898,12,22,17,1
M,78,1,2749,277125,12,357,12535,24
F,68,1,1228,10607,12,233,5894,24
M,95,1,2749,11204,12,467,14514,24
F,97,1,2291,119995,24,366,8797,24
F,95,1,949,116109,24,142,1480,12
F,80,1,2416,359416,12,289,6958,24
F,35,0,193,3877,3,96,295,3
F,41,0,97,6769,3,33,442,12
M,24,0,110,161,3,58,673,12
F,77,0,120,2524,12,22,19,1
F,14,0,188,1896,24,34,683,24
M,87,0,228,4085,12,31,31,1
F,85,1,809,104842,12,88,1262,12
F,45,1,2610,320483,24,965,12214,12
F,58,1,2875,196802,12,1149,24149,24
F,34,0,40,1164,6,20,68,3
F,45,1,819,113242,24,270,3439,12
F,73,1,1301,14436,12,221,5620,24
F,88,1,609,50823,12,109,950,12
M,77,1,698,53274,12,118,1340,12
M,69,1,355,7609,12,74,1192,24
F,54,1,1922,177257,24,691,7841,12
M,78,1,2806,330670,12,364,5050,12
F,72,1,186,24949,24,26,714,24
F,84,1,558,80724,12,78,2008,24
M,29,0,125,828,6,63,382,6
F,71,1,2356,61485,24,400,2827,12
M,85,1,2128,82609,24,319,8171,24
M,80,1,1757,244094,24,351,6325,24
F,63,1,1774,252603,12,177,2554,12
M,47,0,76,1734,12,24,91,3
F,82,0,269,837,6,40,209,6
F,63,0,307,25672,24,46,92,3
F,86,1,518,64029,12,72,1243,24
F,43,1,1493,63975,12,612,12182,24
M,12,0,147,579,1,18,56,3
F,42,0,119,9728,24,39,542,12
M,92,1,713,40156,24,128,1368,12
M,35,0,70,2363,1,32,100,3
M,91,1,691,10053,24,96,2819,24
M,36,1,2523,9473,24,1337,15440,12
M,99,1,2439,203870,24,487,9365,24
M,70,1,2020,205543,24,302,4363,12
M,37,1,2875,288718,24,1408,17594,12
F,71,1,1152,111863,12,230,3870,24
M,30,0,60,1506,1,29,719,24
M,78,1,1833,266384,24,238,5279,24
M,38,1,2433,80158,12,1240,29779,24
F,27,0,155,865,3,85,892,12
F,67,1,1936,73000,12,348,6040,24
F,100,1,1101,37989,24,198,1981,12
M,95,1,1651,90110,24,264,5547,24
M,15,0,168,2196,12,32,577,24
M,80,0,218,4858,6,39,111,3
M,29,0,38,748,24,18,19,1
M,15,1,1048,114733,12,146,3396,24
M,16,0,65,860,24,11,37,3
M,85,1,2235,180131,24,268,7509,24
M,11,0,176,358,24,18,82,3
M,15,0,119,1154,3,16,55,3
M,46,0,27,2239,1,9,97,12
M,45,0,471,40039,3,164,480,3
M,78,1,1691,165902,12,236,3652,12
M,28,1,2839,266401,12,1419,16693,12
F,26,0,104,315,3,49,623,12
F,52,0,473,16002,6,160,1873,12
M,92,1,1979,152319,12,336,7599,24
F,14,1,932,81826,12,93,1892,12
F,57,1,1916,140486,24,708,13795,24
F,45,0,384,5722,3,138,3502,24
F,60,1,2168,215251,24,411,9365,24
M,74,1,2328,339519,12,279,3072,12
F,97,1,1659,35401,24,248,3583,12
M,39,0,60,1639,24,30,705,24
M,10,0,29,54,6,3,5,1
F,27,1,2566,144326,12,1334,32023,24
M,92,0,115,10608,6,12,44,3
F,52,0,411,7681,3,164,135,1
M,96,1,1795,53066,12,215,7323,24
F,94,1,2021,35727,24,323,3880,12
M,91,1,2265,250391,24,271,9241,24
M,96,1,2197,85335,12,351,2636,12
F,14,0,192,1909,24,28,190,6
M,89,1,933,31996,24,139,1343,12
M,31,1,2926,436088,12,1492,40027,24
F,46,1,603,61934,12,217,4052,24
M,37,0,124,7520,12,59,1339,24
M,83,1,836,56417,24,167,3611,24
M,45,1,247,26256,12,83,2015,24
F,61,0,63,6060,3,14,83,12
F,36,1,2647,331915,24,1270,15246,12
F,79,1,589,43174,24,88,706,12
M,47,1,1937,87335,12,736,7670,12
M,21,1,1479,115800,12,769,18812,24
F,11,1,1513,53232,12,156,4281,24
F,72,1,288,1033,12,57,1244,24
F,79,1,797,41351,24,135,4208,24
F,95,1,1756,180777,24,280,3160,12
M,33,1,2399,345395,24,1247,31091,24
M,97,1,2193,326861,12,285,8947,24
F,84,1,1747,130000,24,296,2725,12
M,48,0,23,1588,6,7,77,12
M,69,1,742,40625,12,133,1602,12
F,34,1,645,30088,12,303,3947,12
F,59,1,2952,94865,24,1121,24088,24
M,79,1,204,4132,24,22,832,24
M,14,0,98,1765,6,18,10,1
F,77,1,2443,334877,24,415,6449,24
F,28,0,200,4076,12,101,1223,12
M,30,0,188,8414,1,95,1082,12
F,13,1,2484,282952,12,483,3610,12
F,62,1,2056,5719,24,267,7895,24
F,76,1,425,44233,24,42,764,12
F,14,1,1458,160638,12,247,2469,12
F,55,1,986,9446,12,374,3904,12
M,74,0,310,6444,6,40,353,6
M,93,1,2647,97422,12,264,8893,24
F,71,1,1594,25794,24,159,4590,24
M,44,1,2874,13040,12,804,13105,12
M,27,0,22,336,12,10,64,6
F,51,0,384,3716,12,130,2856,24
M,62,0,415,8429,24,53,174,3
F,73,0,130,8138,12,15,66,3
F,30,0,90,5349,12,41,153,3
F,72,1,1146,130363,24,217,2200,12
F,86,1,385,12369,12,65,1755,24
M,65,1,1891,6214,24,453,5899,24
F,43,0,317,22245,24,129,107,1
M,23,0,23,148,3,12,35,3
M,29,0,20,383,24,10,9,1
M,29,0,78,550,24,42,935,24
F,86,1,1883,219460,24,263,4971,24
M,10,0,138,1784,1,26,48,3
F,71,1,764,44334,12,122,1650,12
M,16,0,21,224,6,2,3,1
F,67,1,2146,46750,24,321,6180,24
F,57,1,1635,208535,12,604,7063,12
M,74,1,2202,223268,12,330,2642,12
F,58,0,187,13321,12,61,190,3
F,55,0,460,33410,12,174,1987,12
M,96,1,2240,155116,24,425,6988,24
M,34,1,2404,324871,12,1226,15866,12
M,78,1,487,2186,12,63,935,12
F,53,0,280,18061,1,97,114,1
F,37,1,379,54923,24,166,4366,24
F,48,0,60,2151,24,19,118,6
F,28,0,40,275,6,17,115,6
M,15,0,93,906,3,18,159,12
M,43,0,257,12978,12,71,1079,12
M,85,1,2481,103445,12,347,4763,12
M,68,1,2537,311554,12,431,4566,12
M,22,0,71,680,3,36,204,6
F,22,1,1953,169606,12,976,12889,12
M,21,0,175,3323,3,87,251,3
F,96,0,468,14857,6,60,786,12
F,67,0,380,21899,3,45,136,3
F,80,1,2854,107548,12,456,4794,12
M,72,1,1827,129155,24,219,2630,12
F,38,1,918,1460,24,504,5618,12
M,67,0,110,2050,6,17,18,1
M,23,1,1208,65544,12,652,7682,12
F,68,1,1793,18734,12,268,7315,24
F,99,1,418,2228,12,71,1504,24
M,60,1,471,14107,12,98,1130,12
M,89,1,2754,317350,24,358,9914,24
M,12,1,838,47470,12,131,3823,24
F,70,1,982,1893,12,186,2121,12
M,89,1,2854,60193,24,456,4794,12
F,85,1,685,79489,12,123,1315,12
F,66,0,35,313,3,5,6,1
M,89,1,2359,11930,24,353,9624,24
M,76,0,301,5075,24,33,866,24
M,69,1,2048,213705,12,286,7864,24
M,57,1,407,51535,12,154,1855,12
M,21,1,2525,74661,12,1363,29087,24
M,59,1,1847,58738,24,609,6870,12
F,12,0,41,381,6,5,116,24
F,33,0,193,16849,24,96,578,6
F,99,1,791,57421,12,110,1708,12
F,97,1,2288,299164,24,320,10982,24
F,30,1,1760,62048,24,967,21119,24
F,37,0,176,11546,1,96,1098,12
M,50,1,1267,62425,24,367,10946,24
M,45,0,383,16542,12,134,827,6
M,92,1,1437,8072,12,215,6207,24
M,97,1,537,45718,24,64,2319,24
F,86,1,1302,110297,12,143,4999,24
M,12,0,22,51,3,2,11,3
F,36,1,1559,230527,24,779,9728,12
F,37,0,130,4767,1,64,1497,24
M,51,1,344,7296,24,113,2476,24
F,97,1,1972,83627,24,335,6152,24
M,46,0,138,546,6,53,41,1
F,57,1,627,32055,24,225,2558,12
F,100,1,470,14220,12,79,902,12
M,67,1,2644,144212,12,502,5076,12
M,59,0,363,16261,24,148,116,1
F,15,1,1867,225650,12,257,3140,12
M,31,0,91,8910,6,40,1113,24
F,83,1,2622,199784,12,445,5348,12
M,99,1,2185,193345,12,262,11536,24
F,34,1,1120,4991,12,582,12095,24
F,76,1,1983,101240,12,277,7138,24
F,22,0,61,394,24,29,86,3
M,19,0,30,152,1,3,5,1
M,93,1,362,52060,12,54,695,12
M,17,1,1094,159157,24,161,2294,12
F,66,1,1275,159694,12,229,5201,24
F,34,0,194,5984,24,102,535,6
F,32,1,229,1820,12,116,2693,24
F,19,0,61,1242,3,6,29,3
F,91,1,2773,67798,24,415,5656,12
M,95,1,487,8159,12,87,1636,24
F,89,1,2817,168681,24,394,10141,24
M,18,0,51,746,24,5,68,12
F,95,1,586,53390,24,82,914,12
M,69,1,1081,155060,12,237,2075,12
M,24,0,26,416,1,12,13,1
F,80,1,1637,23514,12,343,7857,24
M,74,1,1130,116171,24,169,2169,12
F,48,0,457,17864,1,159,1014,6
F,36,0,131,2951,1,61,817,12
F,95,1,585,75709,24,122,1684,24
M,92,1,1383,23396,24,248,1991,12
M,74,1,2661,377229,12,345,4470,12
M,93,1,934,32380,24,140,3810,24
M,29,1,1658,236447,12,862,9550,12
M,99,1,2380,163929,12,285,7425,24
F,44,0,398,30892,3,143,417,3
M,94,1,271,3523,24,32,1105,24
M,75,1,2529,146376,24,354,9104,24
F,56,1,597,63213,12,214,2364,12
F,85,1,2362,72943,12,330,5101,12
M,43,0,190,5962,12,68,70,1
F,34,0,101,1903,6,54,52,1
M,47,0,290,28268,12,89,1391,12
M,17,1,256,2908,12,43,477,12
F,47,1,1355,123305,24,487,9755,24
F,26,0,119,2055,24,57,371,6
F,85,1,612,28573,12,97,2056,24
M,30,0,20,992,24,10,55,6
F,71,1,1228,177373,12,135,2357,12
M,79,1,200,7973,24,37,624,24
F,71,1,466,46389,12,74,894,12
M,59,0,198,2109,12,71,65,1
F,76,1,1955,207016,24,371,3518,12
F,72,1,1419,137359,12,212,2043,12
F,81,1,847,66181,24,135,1321,12
M,94,1,472,64349,24,75,849,12
M,25,0,133,2751,12,63,375,6
F,28,0,116,739,24,59,1447,24
F,36,1,1626,49992,24,943,18341,24
F,96,1,1500,180979,24,269,4680,24
F,91,1,427,28452,12,55,1434,24
M,92,1,2741,200466,12,411,7236,24
M,58,1,477,42434,12,186,3777,24
F,33,0,47,3605,3,20,24,1
M,43,1,2950,8767,24,973,26195,24
M,66,1,2254,251197,24,405,4057,12
M,58,0,29,1162,1,11,264,24
M,62,1,233,32641,24,39,671,24
F,55,1,523,23255,12,193,2008,12
M,32,1,1893,128049,24,927,20898,24
M,82,0,33,190,1,4,12,3
M,98,1,1234,13800,24,234,1628,12
M,93,0,75,2214,6,9,125,12
M,14,0,36,639,24,5,31,6
F,46,1,1352,139642,24,473,5840,12
M,52,0,311,6800,1,118,307,3
F,69,1,1293,14370,24,245,3723,24
F,16,0,72,227,24,7,269,24
M,90,1,2414,246394,24,265,5503,12
M,41,0,273,9674,12,98,573,6
F,57,1,1882,52569,24,715,7226,12
M,38,0,111,9283,24,54,319,6
M,68,1,1088,160697,12,108,4177,24
M,29,0,148,1996,3,76,443,6
F,57,0,497,22043,3,208,1968,12
M,35,0,126,5366,1,60,64,1
M,29,1,2121,131489,24,1145,13235,12
F,36,0,166,9891,24,86,517,6
M,60,1,471,45653,12,47,1921,24
F,21,0,200,1370,1,91,103,1
M,59,1,2538,321704,12,812,23146,24
M,27,0,178,3557,6,105,261,3
M,89,1,1860,155618,24,316,2901,12
M,62,0,349,2172,1,55,1256,24
M,47,0,266,5477,1,93,303,3
M,25,0,161,1701,24,91,255,3
M,17,0,161,1361,12,18,62,3
M,59,1,926,18202,12,342,4333,12
F,90,0,97,531,3,13,232,12
F,79,1,1947,232127,12,272,6074,24
F,17,0,53,197,1,6,22,3
M,66,1,257,5915,12,41,493,12
M,87,1,1392,12607,12,250,5345,24
F,49,0,495,48948,12,168,2375,12
M,68,1,2855,239913,24,456,4453,12
M,79,1,261,1921,24,46,876,24
F,34,1,2695,31896,24,1293,31693,24
M,24,1,2921,178204,24,1548,37155,24
M,55,0,416,13470,1,145,399,3
M,21,0,150,1248,24,67,449,6
F,65,0,227,15301,12,27,122,3
F,88,1,189,10014,24,41,408,12
M,41,0,296,391,24,82,1101,12
F,79,1,2198,307447,12,307,3692,12
M,12,1,1423,49912,12,278,6401,24
F,36,1,288,29617,12,146,3455,24
F,14,0,92,1351,1,17,14,1
F,81,1,1606,181050,12,273,4239,24
M,34,1,2522,223744,12,1109,32685,24
F,38,1,1434,20571,24,673,16175,24
F,51,0,289,25841,6,98,1248,12
M,73,1,970,108688,12,145,1862,12
M,21,1,1612,61090,12,822,9478,12
M,96,1,1845,217099,24,276,7527,24
M,37,0,81,5599,3,43,119,3
F,16,0,174,2102,12,22,365,12
M,76,0,384,32329,1,84,276,6
F,47,1,207,19104,24,76,1689,24
F,11,0,172,2129,1,23,55,3
M,10,0,178,1710,6,30,136,6
F,53,0,49,852,24,18,58,3
M,13,0,30,270,24,3,43,12
M,26,1,1779,139692,12,960,10887,12
F,18,0,131,250,6,24,137,6
M,38,1,2341,186281,24,1147,13484,12
M,14,1,741,2547,12,131,2849,24
M,11,0,192,3763,3,37,99,3
M,74,1,1965,32172,12,255,8017,24
F,49,0,441,8649,3,154,3598,24
M,96,0,325,17087,12,51,1403,24
F,87,1,2611,137535,24,287,11279,24
F,85,1,1949,228544,24,389,6548,24
F,85,1,1498,139826,24,224,5033,24
M,12,0,42,45,12,4,6,1
F,43,1,189,27187,24,56,1587,24
F,88,1,831,68013,24,108,1595,12
M,84,0,233,14092,24,37,265,6
F,13,0,48,742,6,7,8,1
M,46,1,459,22017,12,151,1817,12
F,74,1,686,43468,12,109,1234,12
F,79,1,1233,95950,24,160,5030,24
F,91,1,441,64908,12,79,899,12
M,20,0,107,2365,12,54,327,6
M,18,0,44,620,3,6,184,24
M,20,0,61,138,6,28,32,1
M,40,1,453,20798,12,154,1685,12
F,95,1,1463,202162,12,146,7022,24
M,25,0,70,377,1,37,197,6
F,14,1,2145,197203,24,248,8847,24
F,63,1,1420,62656,12,340,6475,24
F,18,0,86,2042,3,11,119,12
M,19,0,99,379,12,18,45,3
M,87,1,1708,78275,12,324,3484,12
F,48,1,2823,360044,24,1100,19648,24
F,25,0,200,2645,3,93,2159,24
M,75,1,2007,237629,12,361,7706,24
F,37,1,206,30779,12,102,1409,12
F,13,0,131,294,6,15,44,3
F,23,0,64,1453,6,33,783,24
F,77,1,1717,178687,12,360,3296,12
F,69,1,1125,23781,12,168,2159,12
M,91,1,1149,140348,12,172,2343,12
F,72,1,2568,212716,12,436,3697,12
F,79,1,691,33458,12,117,1243,12
F,98,1,639,55017,24,83,1150,12
F,50,1,1100,48252,24,373,8975,24
F,54,0,181,9866,12,63,1433,24
F,90,1,482,46835,12,57,1966,24
M,98,1,1475,66241,12,147,5663,24
M,46,0,307,23787,6,92,2873,24
F,14,1,973,16448,12,176,3421,24
F,67,1,2165,125217,12,281,4416,12
F,13,0,56,801,24,10,10,1
F,71,0,197,16058,3,27,803,24
M,55,1,641,65919,12,205,2615,12
F,73,1,336,28291,24,60,1209,24
M,60,1,1461,63561,24,175,3506,12
F,92,1,899,51227,24,125,3883,24
M,61,0,438,16294,1,48,131,3
F,63,1,1233,150332,12,209,3846,24
F,78,1,2843,344015,12,284,12964,24
F,45,0,37,923,6,15,14,1
M,65,0,68,637,12,8,261,24
M,86,1,1113,136901,24,166,2404,12
M,16,0,138,1646,6,16,120,6
M,80,1,2488,254162,12,348,3881,12
F,24,0,124,1501,6,60,758,12
F,55,0,238,23519,24,90,69,1
M,98,1,378,18859,24,45,1270,24
F,83,1,2798,149402,24,447,10072,24
M,20,1,1843,182875,24,884,11942,12
M,82,1,2316,122070,24,370,8337,24
F,23,0,91,243,12,42,133,3
M,87,1,2959,84074,12,650,11362,24
F,31,1,1762,224167,12,916,19452,24
M,74,0,239,11268,1,33,860,24
F,31,0,151,2242,1,75,221,3
M,54,1,415,5580,24,145,1593,12
F,71,1,2584,109218,12,335,4651,12
M,75,1,2132,43164,12,383,6140,24
M,53,0,328,1303,12,121,728,6
M,54,1,240,34468,24,71,1007,12
M,51,1,2085,67200,24,833,8256,12
F,32,0,158,1054,24,82,1820,24
F,68,1,2963,359935,12,533,5688,12
F,100,1,1205,112584,12,156,2168,12
F,49,0,458,44818,3,151,146,1
F,87,1,1187,106719,24,178,2848,24
M,52,1,2120,297444,12,657,19843,24
M,75,1,1589,187609,12,301,3432,12
F,17,0,51,557,24,10,209,24
F,25,0,76,1302,6,36,107,3
M,39,1,1051,27807,12,557,6053,12
M,75,1,1255,114605,24,138,4819,24
F,98,1,2914,177902,12,524,5944,12
M,39,1,519,19639,24,249,6352,24
F,62,0,252,4733,6,50,83,3
F,30,1,1202,41837,24,576,16154,24
F,85,1,2229,323747,12,378,5349,24
F,35,1,2056,237683,12,986,12829,12
M,89,1,2525,103469,24,454,6666,24
M,74,0,351,7082,12,52,157,3
M,68,1,1462,21185,12,190,2456,12
F,15,1,2592,77166,12,410,5178,12
F,71,1,263,8178,12,36,378,12
M,37,1,1069,47783,12,502,6670,12
F,23,0,69,831,6,32,105,3
M,67,1,1687,53210,24,202,4858,24
M,12,0,70,686,6,9,59,6
F,42,1,334,37343,24,113,1082,12
F,71,0,296,2227,1,47,44,1
M,48,1,2718,263375,12,869,11741,12
M,91,1,2946,109424,12,412,10605,24
F,76,1,426,18873,12,55,1022,12
F,27,0,41,658,6,23,236,12
M,89,1,1864,170504,12,279,7157,24
F,96,1,2347,221384,24,328,4224,12
F,12,1,1197,90030,24,163,5657,24
F,11,0,89,1024,3,16,11,1
F,30,0,35,3112,3,18,100,6
M,41,0,29,1756,6,11,257,24
M,34,1,1488,215753,12,803,9106,12
F,41,1,2533,333355,12,911,11246,12
F,40,0,483,37955,24,178,565,3
F,74,1,1090,57894,12,109,2223,12
M,56,1,2226,44201,12,712,8013,12
F,91,1,283,20717,24,48,1086,24
M,75,1,2593,307987,24,388,12446,24
F,44,0,299,17357,24,101,627,6
F,13,0,124,2093,12,17,38,3
F,77,1,574,68620,12,91,895,12
F,13,0,128,1793,6,21,305,12
M,80,1,2412,109272,24,313,9262,24
F,15,1,1559,180752,12,305,5686,24
M,44,1,2463,351510,12,960,21871,24
M,49,1,2597,383171,12,779,19944,24
F,78,1,2324,207369,12,348,9481,24
F,77,1,1914,2165,24,382,5512,24
M,13,0,136,1584,24,26,138,6
M,54,1,2824,42030,12,1101,19655,24
M,23,1,2267,197439,12,1133,12785,12
M,63,0,182,14157,1,29,60,3
M,37,1,399,16709,12,187,2250,12
F,15,1,1007,49663,12,143,1245,12
F,96,1,1070,29352,24,128,2311,12
F,24,0,64,394,12,30,31,1
F,47,1,1586,213198,24,539,12941,24
F,54,1,2304,250485,12,852,18800,24
M,20,0,102,1029,1,50,46,1
F,58,1,519,38267,24,186,1930,12
F,88,1,2535,257088,12,405,10342,24
M,76,1,2425,216791,24,339,9311,24
F,54,0,215,7264,6,73,251,3
F,91,1,2725,198756,24,435,7194,24
F,72,1,875,72767,24,113,1469,12
F,69,1,947,46027,12,142,3863,24
M,13,0,166,2659,1,25,145,6
F,21,0,172,1344,6,89,247,3
M,42,0,220,5188,6,76,74,1
M,20,0,120,2114,6,61,1583,24
F,63,1,290,38467,12,46,1322,24
F,46,0,419,10090,24,146,930,6
F,89,1,451,55578,12,45,1623,24
F,71,1,550,52461,24,93,2243,24
F,27,0,183,4250,1,104,87,1
F,51,0,171,10940,3,54,348,6
F,11,0,26,565,12,3,9,3
M,82,1,1495,116042,24,224,3587,12
F,31,0,170,5085,3,83,83,1
M,10,0,116,344,6,20,264,12
F,83,1,216,11809,24,23,362,12
M,62,1,1629,46052,12,276,4691,24
F,30,0,127,1587,12,63,1402,24
M,62,1,900,115190,12,117,2592,24
F,67,1,322,26088,24,54,1159,24
M,40,1,2141,18383,12,749,15929,24
F,96,1,799,81219,24,127,1725,12
F,56,1,524,19334,24,167,2137,12
F,75,1,1112,166542,12,155,2535,12
F,44,0,430,13307,6,141,928,6
F,26,0,52,487,24,28,155,6
F,59,1,2669,208138,24,907,20497,24
M,93,1,1475,102718,12,177,5663,24
M,22,0,59,218,6,27,86,3
F,84,1,2446,171385,12,391,4696,12
F,63,0,341,8390,12,47,61,1
F,80,1,2300,126130,24,390,4415,12
M,33,0,99,6450,12,46,558,12
F,11,0,22,380,3,2,4,1
M,100,1,773,70908,12,123,1298,12
M,75,0,229,12906,6,34,41,1
F,68,0,303,12387,6,54,581,12
F,70,0,116,937,24,16,445,24
M,77,1,932,92975,24,130,3355,24
F,82,1,846,86152,12,109,1421,12
F,13,0,22,162,3,3,8,3
F,17,0,166,1422,3,18,731,24
M,51,1,2262,171441,12,723,16286,24
M,95,1,2236,237935,12,469,9122,24
F,90,1,206,24899,12,39,642,24
F,26,0,67,1106,1,32,34,1
F,59,0,243,12047,1,82,1049,12
F,29,1,2039,74374,12,1101,25446,24
M,69,1,1752,225667,24,245,5886,24
M,42,0,260,22420,12,88,2371,24
M,86,1,1538,131974,24,261,4429,24
F,99,1,2555,285779,24,255,9811,24
F,18,0,74,362,6,10,198,24
F,70,0,85,6944,3,13,326,24
F,29,0,192,3124,3,92,92,1
F,88,1,2811,368109,12,590,12143,24
M,39,0,190,12869,12,89,1162,12
