gender,age,job,monthly_income,assets,deposit_months,deposit_amount,saving_amount,saving_months
F,24,0,60,20626,6,120,22,18
F,21,0,391,16227,24,3120,128,12
M,36,1,1835,11659,12,3840,302,18
F,59,0,690,226973,12,3876,223,1
M,47,1,210,201738,12,924,63,18
M,48,1,2855,760383,24,28584,1360,18
M,52,1,1857,61539,24,19992,802,18
F,38,0,82,15106,3,84,24,24
M,48,0,300,113164,6,852,134,6
M,36,1,2285,1278319,24,23928,994,30
F,48,0,320,302368,18,2034,111,3
M,49,0,389,143389,12,2052,190,3
F,19,0,77,32206,1,24,32,12
F,27,0,81,9333,24,672,27,12
F,19,0,97,22245,12,504,35,24
F,19,0,238,45227,1,99,106,24
M,41,0,486,56396,18,3474,147,24
M,34,1,1453,1213526,18,12654,652,24
M,49,1,2789,1364765,30,29250,869,18
M,33,0,533,360246,3,789,237,6
F,33,1,2002,1021041,12,9876,854,24
M,63,1,997,42079,12,5220,497,12
F,56,1,181,157084,24,2040,60,30
M,48,1,486,485932,18,2862,151,24
M,60,1,1201,577778,18,8784,365,24
F,41,0,215,200282,1,67,75,6
M,18,0,334,19234,24,3960,128,1
M,28,0,218,155125,12,936,95,1
F,38,0,203,94818,24,1824,101,6
M,21,0,620,395980,12,3516,205,18
M,24,0,588,349084,3,873,276,1
M,43,0,606,241665,3,546,299,3
F,64,1,2431,1725703,30,34500,895,18
F,29,0,237,105242,3,231,95,1
M,48,1,1566,422247,30,19500,573,12
M,34,0,45,34675,1,17,22,6
M,50,1,229,220689,18,1944,110,18
F,28,0,315,289517,6,750,97,18
M,45,1,348,121624,24,3168,142,24
F,49,1,2310,2237877,30,22260,736,30
F,18,0,207,196589,1,64,68,24
M,64,1,2040,217660,18,17064,720,18
F,45,1,2036,1059847,18,17226,633,30
F,59,1,350,71571,30,3990,172,18
F,24,0,290,46991,6,798,97,18
F,19,0,456,191025,6,1182,218,18
F,59,1,1043,788235,30,9480,479,12
M,41,1,261,165885,30,3300,110,24
F,21,0,603,370102,3,630,207,12
F,61,1,1315,143350,30,14400,488,24
F,36,0,547,215846,18,4086,238,6
F,43,1,757,200381,12,2772,278,30
F,28,1,2881,491702,12,11688,1319,18
M,57,1,1489,195809,18,8568,578,30
M,60,1,2160,1681058,30,30990,871,30
F,28,0,338,317957,6,876,148,3
M,62,1,2668,1358594,24,20784,1115,24
F,20,0,605,407065,24,5304,194,24
M,29,0,382,204686,1,121,190,6
M,20,0,71,13599,1,26,28,24
F,59,1,2005,604553,18,11376,996,18
F,44,1,1244,685731,30,12120,587,24
F,19,0,130,81888,1,50,61,3
F,33,1,2799,2363431,12,15276,1119,12
M,19,0,643,448407,6,1848,272,18
F,47,1,1389,1117598,30,13530,585,30
M,37,0,196,116507,18,1116,80,18
F,55,1,397,246934,18,2268,174,24
F,45,0,415,336896,24,4152,176,1
M,42,0,108,5775,18,810,53,12
F,49,1,1798,84398,12,8016,580,12
F,27,0,427,109966,3,384,168,12
M,59,1,1800,1775318,30,26550,600,12
M,57,1,2846,749286,30,40620,875,30
F,50,1,1711,432672,18,11250,629,30
M,30,1,1065,139376,12,5676,524,12
F,58,1,746,44812,24,7296,296,30
M,59,1,2117,1911970,18,12870,763,24
F,64,1,1198,537057,18,8496,517,12
M,54,0,79,40692,18,486,38,1
M,33,0,333,129016,3,318,113,18
M,62,1,1982,1544320,30,28200,657,18
F,39,1,1457,444707,12,6204,442,24
F,37,0,276,137978,24,2568,127,1
F,60,1,539,252622,18,4464,226,30
M,44,1,2843,1306810,12,12696,1247,24
M,58,1,2643,1063851,24,20424,1135,24
M,33,0,530,471046,24,4512,191,24
M,51,1,1938,1831119,24,21552,892,18
F,49,1,194,28286,12,816,77,18
M,43,0,533,274793,12,2340,210,6
M,42,0,354,55446,24,3360,173,3
F,19,0,413,75405,18,2466,152,3
F,29,0,454,29462,1,181,222,6
M,57,1,850,224474,18,6120,297,24
M,26,0,64,62615,18,360,24,1
M,29,0,574,335102,24,6312,264,6
F,43,0,539,213181,24,6264,182,12
M,26,0,337,285663,24,3288,151,12
M,27,0,671,136671,1,296,234,24
M,49,0,341,325146,3,450,124,12
F,51,0,125,10989,3,180,57,3
M,37,0,210,72025,12,1176,95,6
F,56,1,827,136793,30,8310,328,30
F,19,0,399,388140,3,477,136,3
F,18,0,113,63984,12,444,34,1
F,53,1,1208,702842,18,9702,538,24
F,41,1,227,120505,24,2688,95,24
M,44,1,1332,342705,18,11700,625,12
M,19,0,462,272292,12,2604,221,3
F,48,0,593,213168,1,187,245,12
F,31,0,350,348879,3,447,146,12
M,19,0,313,299858,1,114,112,3
F,46,1,1369,986903,30,17550,640,30
M,32,1,1960,1353209,24,16992,833,18
M,29,0,563,47887,24,4296,227,24
F,54,1,2553,1243559,30,34140,1035,18
M,45,0,175,154970,12,636,80,6
M,37,0,684,225143,12,3492,207,3
M,56,1,2134,239697,30,27270,714,18
F,41,0,571,530232,6,1572,248,6
M,38,0,421,335993,24,3312,167,24
M,27,0,354,103259,24,3000,156,24
M,63,1,2005,342077,24,16248,632,18
F,31,0,644,494894,3,849,276,24
F,54,1,2738,2492994,24,27600,929,24
F,35,1,2081,686759,24,18768,850,18
F,41,1,2539,360278,24,27936,1186,12
M,31,0,265,55376,1,122,97,3
M,51,1,484,74310,18,3384,161,12
M,29,0,285,160455,24,2304,86,24
M,39,1,271,227298,18,1818,106,24
F,23,0,278,218479,12,1044,127,12
F,53,0,140,139119,12,504,68,24
F,62,1,1639,998212,30,23820,582,24
M,53,1,888,30727,30,9570,308,12
F,39,0,396,25320,1,157,186,12
F,31,0,321,173460,12,1860,141,1
M,33,0,401,362197,1,135,132,18
M,53,1,1422,736268,12,7524,497,30
M,42,1,1376,1199084,24,13224,459,30
F,49,0,113,90855,3,105,45,18
M,50,0,87,76538,3,126,35,18
F,62,1,1916,1346303,12,9720,915,12
F,53,1,552,84022,12,2628,229,24
M,37,0,276,81424,12,1236,113,12
F,35,0,631,600669,12,3132,281,18
F,55,1,2864,2033223,30,35910,1158,12
M,20,0,163,95732,3,201,49,12
F,40,0,439,397006,1,195,199,6
F,49,1,2559,566235,18,17118,1185,24
F,62,1,589,511844,12,2808,241,24
M,33,1,624,365201,18,4608,230,12
F,22,0,369,336362,18,2718,183,24
M,21,0,211,206001,12,924,100,6
M,38,0,569,145703,12,3324,263,3
F,57,1,2765,41755,30,9510,324,30
M,31,1,1016,310206,24,10440,457,12
F,56,1,683,645015,18,5202,276,24
M,48,1,1896,1893720,30,25680,704,18
M,31,0,495,383181,6,1416,223,1
F,23,0,700,253780,3,1008,239,12
M,29,0,667,664428,12,2892,266,1
F,33,1,1537,838530,24,14832,766,24
F,34,0,630,3946,24,2400,100,1
F,62,0,566,560314,6,1284,272,18
F,40,1,1668,1426312,30,19620,830,12
F,31,1,2196,120501,24,19440,753,24
M,24,0,523,152283,18,4194,185,6
F,63,1,2705,1742409,12,12840,1139,30
F,49,1,2396,1924821,18,17784,999,18
F,32,0,407,90279,24,3336,156,12
F,61,1,1802,747799,24,19872,841,30
M,34,1,1282,633918,18,7164,618,18
M,58,1,656,458453,30,8820,310,12
M,64,1,2699,297759,12,11160,1295,24
M,61,1,728,220443,18,4878,231,18
F,51,1,746,320754,30,10350,274,18
F,22,0,48,38332,24,336,23,6
F,62,1,1211,854838,24,10200,603,18
F,44,0,605,529567,18,5040,232,1
F,40,0,685,15412,12,1332,89,6
F,57,1,1998,217012,12,7920,928,24
F,31,1,1061,812546,18,6336,417,30
F,32,0,187,133547,24,1992,57,6
F,60,1,2051,383048,18,12096,969,24
F,50,1,950,736544,18,7650,422,12
M,48,0,38,28527,1,13,11,1
M,52,0,50,38108,1,21,15,3
F,34,0,296,281334,12,1212,98,24
F,45,0,56,12438,3,81,24,24
M,36,1,221,37137,24,2184,100,12
F,63,1,2613,53283,30,11280,441,24
F,40,0,341,246286,24,2472,118,1
F,49,1,2648,1397265,24,24504,1148,18
F,57,1,2348,841436,24,20952,853,30
F,30,0,490,17141,18,3222,149,18
M,37,0,470,13633,3,174,87,1
F,52,1,2191,1098729,24,23352,728,24
M,22,0,534,475561,1,216,203,12
F,26,0,518,336304,3,774,237,18
F,46,0,289,206169,1,115,98,6
F,23,0,544,121631,6,1224,264,3
M,42,0,245,188382,1,112,101,1
M,48,1,372,164838,24,3552,170,24
F,39,0,381,90203,18,2484,126,24
M,19,0,136,100366,18,1170,50,12
M,62,1,1994,1732496,12,10776,713,18
M,22,0,626,461506,3,705,252,3
F,44,0,200,178188,1,77,60,6
M,42,1,2155,1380327,12,12156,704,12
M,25,0,494,312901,24,3960,195,3
M,18,0,288,159311,18,2520,140,6
F,37,0,44,41216,6,90,18,24
M,61,1,1200,623443,30,16590,446,30
M,40,0,537,515000,12,2472,222,6
F,49,0,579,155549,24,4440,252,1
F,28,0,168,120614,6,384,82,6
F,56,1,2406,94465,12,10404,998,12
M,64,1,2189,1284020,24,19488,877,30
F,41,0,215,19566,3,195,86,18
F,28,1,2629,1854817,24,28512,856,30
M,46,0,626,193539,6,1728,228,3
F,43,0,514,326557,12,2556,219,24
M,33,0,468,413010,6,1176,187,3
F,52,1,1134,1078309,24,8976,487,30
F,37,1,2927,1233479,30,34200,1232,24
M,63,1,2566,2359359,18,15228,1026,12
M,20,0,144,68587,24,1320,64,12
M,18,0,142,121737,6,342,68,1
M,64,1,2209,1320983,12,11736,1101,24
F,18,0,368,357942,3,540,169,3
F,34,0,697,193836,18,5652,338,18
M,19,0,253,131378,24,1824,120,3
F,46,0,329,84532,12,1584,106,1
M,37,1,951,310382,18,6336,415,30
F,23,0,540,521315,6,1392,177,18
M,25,0,541,358017,6,1494,255,24
M,46,0,62,43672,1,19,22,3
M,50,0,585,160193,6,1272,287,18
M,20,0,451,300071,3,642,185,18
F,52,1,2367,654132,12,10764,1023,30
M,22,0,561,266258,24,4824,217,18
M,44,1,2943,2062417,24,31632,1223,18
F,61,1,2679,2653070,12,12372,1110,30
F,29,0,392,168009,24,3816,153,18
M,37,1,2511,2029087,30,29460,954,30
F,62,1,714,445490,30,8970,337,18
F,37,0,555,72663,12,2424,178,12
M,26,0,203,194942,12,1092,71,24
M,56,1,1441,1399960,12,5784,673,18
M,21,0,645,587119,3,903,227,24
F,36,0,63,45046,6,180,29,3
F,55,0,434,363183,3,573,197,24
F,44,0,665,508282,18,5490,243,18
M,62,1,623,100274,18,5544,194,24
M,60,1,2249,1078598,30,26880,710,24
F,30,1,1828,1273676,30,24930,830,18
M,30,0,23,9242,12,108,9,24
F,39,0,584,61341,24,6912,216,6
F,45,0,322,85598,3,327,113,3
M,64,1,273,30691,24,2400,85,30
M,62,1,1282,1120820,12,7464,457,12
F,39,0,130,45784,12,468,63,18
M,60,1,2152,459650,18,14184,806,24
M,36,0,182,94408,6,516,70,18
M,25,0,249,152183,3,348,82,12
M,25,0,448,136256,3,531,151,12
M,59,0,321,101548,24,2472,141,6
M,43,1,2924,990738,24,23400,1225,24
F,43,1,1075,690083,24,12120,360,12
M,40,0,315,310175,6,930,107,3
F,60,1,2397,1904479,24,20568,1107,30
F,30,0,311,230214,12,1608,101,1
F,45,0,465,330264,6,1296,225,24
M,26,0,23,19023,3,21,9,6
F,37,1,603,397910,12,2436,195,30
M,36,0,306,209618,3,450,99,3
F,56,1,861,765209,24,6216,351,30
F,29,1,919,454908,12,4716,386,30
F,32,0,169,143053,1,65,66,24
M,48,1,2015,1413507,24,22824,883,12
F,31,1,1736,1303412,24,19680,854,24
F,28,0,620,123384,3,879,263,18
M,43,0,358,231029,6,792,163,3
F,59,1,2938,1367914,24,32592,1212,24
F,44,1,2461,223597,24,28272,988,12
F,28,0,545,298438,24,5976,258,1
F,55,1,1490,1096740,30,15420,632,18
F,51,1,1237,346954,24,12816,585,24
F,60,0,322,94145,6,960,133,6
M,36,1,711,509911,12,4128,271,12
F,23,0,406,237408,12,1812,161,18
M,63,1,685,518595,18,3708,232,12
M,55,1,181,106384,12,684,83,24
M,59,1,185,26170,18,1422,56,18
M,45,0,522,176699,1,246,197,1
F,18,0,567,91290,18,5076,212,1
F,52,1,2631,511812,24,23160,984,18
M,57,1,1293,100481,18,10422,588,12
M,25,1,1948,62285,30,21060,624,24
F,64,1,2240,150632,24,20568,716,18
F,24,0,498,1144,24,2112,88,3
F,28,0,442,287028,6,900,215,12
M,56,0,542,40712,6,1572,260,24
M,21,0,245,90719,24,2208,91,3
M,42,1,2006,853815,30,18930,914,12
F,29,1,2409,1219536,30,24180,1080,30
M,43,0,438,177131,18,3420,194,3
M,55,1,2786,364316,30,27120,860,24
F,63,1,2540,1921540,24,18672,838,30
F,29,0,142,81293,3,153,64,6
F,60,1,2809,2124907,30,30450,1265,30
F,54,1,2480,1242369,24,29568,1119,12
F,63,1,900,585545,24,7776,298,18
M,41,1,2525,709369,18,21384,1230,24
M,33,0,695,61505,3,690,301,12
F,30,0,366,74641,6,1002,112,18
M,42,0,108,54261,3,147,42,24
F,21,0,161,25996,12,852,79,12
M,28,0,258,101814,6,504,117,3
F,49,0,446,138401,24,4680,160,6
F,24,0,182,79913,1,59,76,12
M,63,1,278,24711,30,3840,126,12
F,28,0,306,168910,24,2400,130,24
F,45,0,302,221345,18,2160,100,24
F,58,1,539,454166,30,7620,263,30
M,40,1,900,187223,30,11760,380,24
M,62,1,2011,668735,18,17334,619,30
F,40,0,75,45433,12,396,34,24
M,45,1,1037,196461,30,10350,319,18
M,60,1,1883,1697720,12,10812,736,24
F,64,1,1122,1047626,24,9528,456,12
M,43,1,1767,1158148,12,6948,675,30
F,42,1,2842,2807600,24,30456,1220,24
F,46,1,1011,795387,30,12480,443,30
F,36,0,694,379940,18,4410,298,24
F,50,1,1283,1192398,24,14448,501,30
M,53,1,903,698726,24,8472,344,18
F,31,0,69,7630,24,504,20,12
M,31,1,332,88747,12,1836,133,12
M,52,1,1209,880409,18,8514,424,30
M,47,1,2023,782577,18,14724,806,12
F,45,0,395,160185,3,555,183,24
F,34,1,2319,2279684,12,11256,1148,12
F,20,0,310,24913,1,136,103,18
F,33,0,530,521750,12,3024,246,6
F,63,1,701,34011,24,5856,333,12
F,47,0,20,6939,1,6,6,18
F,46,0,412,137255,24,4704,192,3
M,62,1,1902,1900586,30,21870,628,18
M,32,0,141,56356,1,45,60,6
F,63,1,2372,2361025,12,10620,806,18
F,42,0,245,179234,12,1332,107,12
M,55,1,2866,2298321,12,15732,908,24
F,59,0,199,151932,1,79,97,18
M,64,1,2263,814834,30,33150,958,30
M,55,0,236,10596,18,2016,73,6
F,40,1,2734,1942677,24,21840,1265,30
F,42,1,2494,1217861,18,19152,792,12
M,59,1,2560,2262646,30,28590,930,18
M,24,0,270,250814,3,261,97,6
F,39,0,305,113229,18,1998,108,12
M,34,0,387,262911,12,1680,129,12
F,35,1,2809,424177,12,10740,1090,30
F,58,1,524,357674,12,2580,175,30
F,27,0,380,43764,1,139,162,18
F,27,0,324,18641,18,2376,142,6
M,24,0,584,21435,12,3372,249,24
F,55,1,2193,1705568,30,30540,793,12
F,44,0,654,371402,6,1176,303,24
M,50,1,2808,1214442,18,17550,1111,30
M,18,0,30,13260,18,252,10,24
M,61,1,2638,1551109,12,9996,890,30
F,51,1,1498,106905,24,15096,500,30
M,21,0,28,7297,6,60,12,3
M,34,1,982,254162,18,6102,433,12
F,21,0,162,51556,6,306,51,6
M,60,1,2371,2055046,12,12912,1140,24
M,43,1,1786,166626,30,25170,646,24
M,21,0,531,288833,12,2784,221,1
M,18,0,371,172086,1,116,159,3
F,24,0,340,126016,12,1332,133,12
F,47,1,726,257037,30,8280,358,12
F,26,0,566,170796,24,5832,227,1
M,52,0,377,285582,3,405,185,6
M,25,0,37,19918,12,192,12,12
M,41,0,484,60345,24,3624,163,12
F,36,0,695,267517,18,5922,326,6
M,53,1,445,98051,12,2040,191,24
F,60,0,684,370055,6,1506,297,12
F,44,0,238,37247,12,984,99,3
M,49,1,1964,1604514,24,18648,905,24
M,31,0,73,7442,12,288,24,3
M,35,0,260,110398,24,2760,85,1
F,45,0,647,240222,1,307,261,24
M,46,1,380,28252,24,2736,152,18
M,33,0,191,52413,24,1752,68,12
M,52,1,2174,529675,24,18192,969,30
M,64,1,243,152107,30,3060,114,30
M,48,1,2340,1339753,30,28620,707,18
F,21,0,578,105494,18,3330,276,6
M,54,0,465,320328,6,978,219,18
F,34,1,261,168303,12,1080,87,30
F,56,0,83,11030,1,38,29,1
M,63,1,1305,1149494,18,8010,516,30
F,43,1,927,923483,30,9180,363,18
F,56,0,145,48279,1,61,57,3
M,58,1,1641,122543,30,16950,717,24
F,21,0,84,21916,6,174,41,18
F,47,1,2720,891666,24,29472,1183,30
F,47,1,466,173904,18,3762,231,12
F,39,0,341,209763,12,1404,119,12
M,28,0,610,129516,18,4500,279,3
F,19,0,185,180802,24,1944,79,6
M,61,1,2971,2589962,12,17688,1277,30
F,29,0,117,21717,3,123,53,12
F,47,1,2939,2597356,30,36870,886,12
M,53,0,73,22325,24,792,31,24
F,35,0,57,15082,12,228,22,1
F,43,1,1873,38547,30,7080,263,12
M,24,1,2438,1534620,30,30840,1181,24
M,18,0,561,527766,6,1536,225,1
M,43,0,432,99403,12,2436,167,18
M,40,1,1016,965762,18,8262,439,12
M,43,0,159,83824,3,174,58,3
M,62,1,2789,2146548,18,23760,1019,18
M,23,0,666,87801,12,2604,245,24
M,23,0,253,242100,1,89,89,18
F,61,1,2632,52130,24,11496,507,12
M,25,0,465,337925,6,1314,201,24
F,41,1,709,212270,30,7620,256,24
F,39,0,258,83809,6,486,121,18
F,36,0,151,54639,6,306,46,3
M,54,1,2015,171251,18,14346,760,24
M,35,1,260,212563,12,1296,122,24
F,48,1,2638,1137271,30,36840,970,12
M,54,0,528,313023,6,1224,251,3
M,47,1,298,73648,24,2184,144,30
M,59,1,2518,1458577,30,32820,871,30
M,50,1,209,67186,30,2610,100,30
F,27,0,359,170141,1,118,159,6
M,54,1,2185,1456034,24,22968,941,24
F,29,0,319,46575,12,1884,119,6
M,47,1,490,59443,12,2076,221,30
F,44,0,205,79494,12,936,87,3
F,56,1,1889,963497,12,10716,757,30
M,26,1,1291,207256,12,7008,618,30
M,38,1,2722,78962,18,7470,315,30
F,29,0,467,366914,24,5520,206,3
F,46,0,296,164083,6,552,104,12
M,50,0,320,207832,1,155,102,12
M,60,1,1871,925450,12,10416,626,30
M,32,0,363,256421,3,384,119,24
M,19,0,45,17632,1,16,15,12
F,56,1,1160,146352,30,15240,446,12
M,61,1,1662,328070,18,11502,671,30
M,35,1,1320,382921,24,9888,594,24
M,20,0,515,336562,12,2676,254,12
F,24,0,100,35084,12,432,30,18
M,60,1,1570,1366608,24,13704,543,18
F,35,1,2862,2198092,24,25416,1236,24
M,61,1,1271,684667,18,8604,520,18
F,55,1,2613,144495,24,28104,1248,18
F,54,1,2504,2353411,30,29820,1204,12
M,50,1,1195,139507,24,9480,566,18
F,61,1,2514,1609498,24,21696,1220,30
F,48,0,272,245380,1,106,127,6
M,28,0,67,18129,6,126,21,18
F,21,0,367,331884,18,3096,174,3
M,35,0,353,216856,18,2538,108,3
M,21,0,335,140908,18,2988,119,12
M,51,0,404,191322,18,2592,184,24
F,46,0,416,279296,18,2412,155,1
F,41,1,1029,315100,18,5616,483,18
F,39,0,543,452891,18,3312,168,12
F,19,0,483,88311,3,711,159,1
M,61,1,2620,920240,18,20358,796,30
F,23,1,2453,1168080,18,16632,1172,18
M,59,1,590,221815,18,3420,289,18
F,42,1,1663,1535222,30,16620,768,24
F,38,1,2477,553152,24,25680,1082,18
F,33,0,504,50826,3,663,170,24
M,48,1,2923,2577846,30,29850,1007,30
M,31,0,276,19695,1,101,83,24
M,56,1,1530,1213712,30,15540,464,18
M,45,0,126,1767,12,288,22,24
F,49,0,551,205078,12,2076,243,6
F,45,1,1109,468406,30,13770,466,12
F,26,1,705,623934,30,8130,284,30
F,62,1,2490,94952,24,24624,1021,12
M,39,1,1272,257554,12,5628,626,30
M,49,1,948,489464,30,11700,296,30
M,22,0,157,156972,6,432,64,18
F,40,1,861,419230,24,7272,282,12
F,22,0,586,313808,1,216,194,6
F,59,1,1031,447544,12,5556,386,12
F,49,0,613,607366,3,669,304,3
F,27,0,199,27182,18,1080,73,12
F,56,1,463,448233,12,2232,159,18
F,32,0,605,526815,18,4464,277,3
M,24,0,26,7217,1,10,10,18
M,46,1,534,419900,18,4050,212,30
F,64,1,1144,1098789,12,6564,431,12
F,20,0,40,24660,1,14,14,3
F,36,1,2822,291696,24,32664,1233,18
F,27,0,481,87160,18,3492,198,6
M,45,1,1414,1187298,24,12528,444,18
M,46,0,549,328367,18,4914,185,1
F,32,1,1972,1915715,12,8784,847,18
M,52,1,442,198238,30,6150,159,24
M,23,0,674,486289,12,3312,265,12
F,29,0,262,126463,1,110,100,12
M,64,1,2006,364592,24,18120,754,12
F,55,1,1460,1252937,18,8406,497,12
F,30,0,191,107355,1,81,65,24
F,46,1,1077,142180,18,5976,441,24
F,36,0,39,32867,1,17,15,1
M,20,0,162,25698,12,900,59,6
F,25,0,419,39141,12,2028,171,24
F,25,0,243,125602,24,2544,91,12
M,37,1,2218,880714,18,17694,828,18
F,64,1,1594,1554849,30,20220,517,18
M,21,0,185,157618,18,1512,70,3
M,38,1,2369,1809781,12,10284,1156,30
F,20,0,178,102168,1,72,76,18
F,62,1,657,602186,12,3240,261,18
M,25,0,499,340988,3,501,185,1
M,40,0,203,9604,3,240,93,12
F,33,1,536,213841,18,3510,238,24
F,30,1,658,156061,18,5814,293,24
F,20,0,326,59816,12,1812,161,3
F,26,0,261,112344,6,564,126,24
F,31,0,204,58170,18,1350,82,18
F,30,1,2106,1295171,24,18384,900,30
F,24,1,979,715624,12,3672,358,18
F,32,0,79,29427,18,666,26,1
M,24,1,2496,1603744,18,19350,1179,24
M,55,1,1886,656194,12,8112,576,18
M,51,0,34,11600,12,144,11,24
M,58,1,351,251360,30,4320,165,24
F,39,1,622,130241,18,4482,208,12
F,41,1,1687,1294231,18,9234,620,24
F,54,1,1844,100405,12,10476,906,30
M,61,1,660,73645,30,8550,203,30
M,18,0,133,5459,24,1248,60,18
F,27,1,2300,1835227,30,27960,1016,30
M,60,1,1862,1732998,18,14850,631,12
F,33,0,338,121857,18,2106,101,24
F,63,1,987,387559,30,12540,351,12
M,25,0,610,406546,6,1254,273,24
M,42,1,1064,799952,24,8112,448,30
F,29,0,53,24973,24,504,16,1
M,42,1,189,91425,18,1188,74,30
F,34,0,179,164709,18,1026,59,12
F,43,1,2586,184944,12,15396,1202,24
F,63,1,2208,422691,18,13986,1081,24
F,31,0,217,487,6,186,36,3
M,58,0,317,274240,24,3000,124,6
F,53,0,376,115836,3,375,144,3
M,40,1,2086,1624135,30,29910,656,18
F,60,1,614,240955,12,2712,277,18
M,23,0,297,11703,6,648,112,24
F,64,1,2437,753744,18,17136,1007,18
F,22,0,79,13949,18,612,27,18
M,60,1,2940,765505,24,30000,1146,24
F,42,0,193,38876,6,342,96,18
F,35,0,254,224058,1,83,77,24
F,30,1,2689,1681372,18,16092,1050,18
F,60,1,1941,1542808,18,16902,784,18
M,31,0,408,317980,3,516,174,1
M,45,1,955,645483,24,8304,322,18
F,35,0,258,176363,1,103,105,24
F,45,0,515,479841,12,2724,230,3
F,44,0,36,11552,3,45,15,3
M,49,0,298,130993,3,276,104,3
F,64,1,428,108359,18,3150,145,12
M,26,0,314,87705,12,1584,94,24
M,57,1,1033,160408,24,11328,361,12
M,49,1,2781,1847609,12,12024,1285,18
M,37,0,258,3995,3,111,28,1
F,45,1,2421,326685,24,26208,1162,12
F,50,0,427,424834,18,2484,156,6
M,21,0,292,44633,6,660,91,3
M,63,0,223,142746,24,1632,90,18
F,51,0,129,48022,3,141,59,12
F,20,0,342,295670,18,2592,121,6
F,43,0,349,231465,1,167,147,18
F,25,0,177,176807,24,1872,73,6
M,23,0,168,27355,24,1848,51,24
F,33,1,183,125009,30,2730,77,30
M,41,0,61,24969,3,81,23,6
F,56,1,577,50218,12,3324,177,12
M,47,1,1230,534447,18,7884,369,30
F,62,1,1310,378585,24,12240,522,18
F,30,0,345,296981,24,3912,138,1
F,22,0,229,94219,12,936,96,18
F,42,0,612,136629,24,5856,184,18
M,37,0,507,205026,3,513,234,3
F,35,1,1256,1124248,30,12630,453,24
F,64,1,371,48796,24,3600,151,12
M,35,1,1276,298709,30,14430,550,24
M,19,0,466,74771,3,465,158,1
M,27,0,641,11538,24,2640,77,24
M,62,1,2859,1174769,24,26520,1149,24
F,64,1,1311,625642,30,12450,508,30
F,29,1,1490,1019337,24,15744,728,30
F,64,1,1208,685446,12,5808,550,24
F,30,0,294,173787,1,94,111,24
M,64,1,381,81048,18,2574,159,24
F,28,0,309,80337,24,2952,97,6
M,36,0,109,34902,1,43,33,6
F,52,1,2907,385879,12,12540,1041,30
M,56,1,1919,60252,30,20610,880,12
M,43,1,1435,911580,30,17700,660,24
M,63,1,1589,1468651,24,16200,778,30
M,31,0,27,2849,3,27,8,6
M,62,1,1701,662389,30,18660,654,12
M,61,1,2743,2030941,12,14076,1145,24
M,41,0,74,68282,12,276,32,6
M,58,1,575,379447,24,6240,235,24
F,18,0,637,286613,6,1896,195,12
M,60,1,1257,303437,30,15690,612,24
F,39,1,725,626190,18,5796,281,24
M,40,0,302,65593,24,2664,148,18
F,36,1,660,315593,18,5310,278,30
F,35,0,582,558820,24,5592,249,6
M,29,1,2173,165297,12,12816,1070,18
F,45,0,303,14358,1,96,113,6
F,45,1,1389,253291,12,5076,478,12
F,50,0,537,350364,3,591,242,6
M,36,1,732,387187,12,4140,345,12
M,45,1,2431,1441508,24,24048,1121,18
M,54,1,1297,213544,12,6732,619,24
M,43,1,2742,862692,12,16080,1119,24
F,52,1,2517,897859,12,14796,1174,24
F,51,1,1922,1428128,18,13212,593,30
F,52,0,586,541626,1,179,261,3
F,57,0,321,160405,24,3480,156,18
M,33,0,253,186631,1,77,84,18
M,55,1,1925,1633507,30,25620,800,18
M,30,1,764,513413,24,7872,303,18
M,40,0,75,16623,18,540,24,12
F,39,0,399,313303,3,369,134,18
F,33,1,247,105782,18,1422,83,12
F,45,0,190,125569,6,552,90,12
M,52,1,778,447281,18,6372,373,12
F,62,1,324,228240,30,3990,127,18
F,63,1,2790,1969968,24,22968,917,24
F,25,0,627,622080,24,7368,255,3
F,61,1,479,398821,30,4500,171,30
F,39,1,1222,291076,30,15420,552,30
F,38,0,617,225602,24,4656,258,6
M,43,1,2396,104506,18,21384,748,30
F,57,1,1550,1226223,24,14544,759,18
M,38,1,1598,969486,18,12402,644,12
M,42,1,2525,14929,12,4068,287,12
M,58,0,584,233255,6,1428,247,24
F,18,0,574,85528,3,849,226,24
F,23,1,2077,1183128,30,28530,1019,18
M,40,0,191,123491,12,756,60,12
F,40,0,110,44801,6,312,53,24
F,60,1,2888,2887087,18,22500,869,18
F,60,1,1595,1332289,12,7464,504,24
M,40,0,589,120780,12,2796,289,12
F,49,1,2171,478210,18,17046,1028,24
F,47,1,918,686433,12,5436,341,30
M,30,1,2434,1784498,30,32580,744,30
M,60,1,1123,185908,24,11784,427,24
F,35,0,375,253543,6,1122,124,18
F,40,0,633,7111,6,648,100,1
M,32,1,2355,76378,24,25680,1051,12
M,50,1,330,52003,12,1620,142,30
M,38,0,483,65706,1,158,146,1
F,56,1,367,265751,24,3696,112,30
F,40,1,405,277495,12,1704,151,12
F,44,1,2895,2093683,24,29472,1161,12
F,62,1,2044,20204,18,4950,225,30
F,61,1,672,597539,18,3960,299,24
F,35,0,197,102595,24,1896,65,18
M,41,1,1847,817428,12,7824,777,30
F,64,1,2342,90634,30,27960,960,12
F,57,0,425,405919,24,3456,174,18
M,59,1,703,647793,30,8520,336,30
M,24,0,138,109293,3,189,60,6
